Latitude,Longitude,City,Month,Day,Minutes,% of day duration,Zip
38.062515,-85.73559,Brooks,1,15,588.77,0.409,40109
38.677837,-84.09411,Brooksville,1,15,585.61,0.407,41004
37.198074,-87.01403,Browder,1,15,593.1,0.412,42326
37.215448,-86.29013,Brownsville,1,15,593.01,0.412,42210
36.72179,-83.90657,Bryants Store,1,15,595.43,0.413,40921
37.651397,-84.546693,Bryantsville,1,15,590.84,0.41,40410
37.325318,-83.49048,Buckhorn,1,15,592.46,0.411,41721
38.366467,-85.45075,Buckner,1,15,587.22,0.408,40010
37.47534,-85.60987,Buffalo,1,15,591.72,0.411,42716
37.369312,-83.1156,Bulan,1,15,592.24,0.411,41722
37.184477,-82.61109,Burdine,1,15,593.15,0.412,41517
37.754255,-84.76904,Burgin,1,15,590.32,0.41,40310
36.765985,-85.39971,Burkesville,1,15,595.22,0.413,42717
39.020466,-84.74158,Burlington,1,15,583.84,0.405,41005
37.24122,-88.33829,Burna,1,15,592.89,0.412,42028
36.965123,-84.55458,Burnside,1,15,594.24,0.413,42519
37.152074,-84.140847,Bush,1,15,593.32,0.412,40724
37.257714,-83.31253,Busy,1,15,592.79,0.412,41723
38.796981,-84.33792,Butler,1,15,585,0.406,41006
37.358509,-82.7207,Bypro,1,15,592.29,0.411,41612
36.846471,-87.86409,Cadiz,1,15,594.83,0.413,42211
37.575772,-87.29499,Calhoun,1,15,591.23,0.411,42327
38.910255,-84.28194,California,1,15,584.41,0.406,41007
37.013505,-88.37269,Calvert City,1,15,594.02,0.413,42029
36.737835,-83.60248,Calvin,1,15,595.35,0.413,40813
38.602881,-83.361625,Camp Dix,1,15,586,0.407,41127
38.53445,-85.17178,Campbellsburg,1,15,586.36,0.407,40011
37.337936,-85.330374,Campbellsville,1,15,592.4,0.411,42719
37.372314,-85.3549,Campbellsville,1,15,592.23,0.411,42718
37.716311,-83.51835,Campton,1,15,590.51,0.41,41301
37.60512,-82.31477,Canada,1,15,591.06,0.41,41519
37.121145,-85.370926,Cane Valley,1,15,593.47,0.412,42720
37.413211,-86.49884,Caneyville,1,15,592.03,0.411,42721
37.271372,-85.72639,Canmer,1,15,592.73,0.412,42722
37.792272,-83.28137,Cannel City,1,15,590.13,0.41,41408
36.920165,-83.85699,Cannon,1,15,594.46,0.413,40923
38.320944,-84.02358,Carlisle,1,15,587.45,0.408,40311
37.33195,-83.02976,Carrie,1,15,592.42,0.411,41725
38.663328,-85.16803,Carrollton,1,15,585.69,0.407,41008
38.433912,-83.133597,Carter,1,15,586.87,0.408,41128
38.360669,-82.61836,Catlettsburg,1,15,587.24,0.408,41129
37.131203,-85.94633,Cave City,1,15,593.43,0.412,42127
36.781517,-83.22904,Cawood,1,15,595.13,0.413,40815
